ID,活动状态,活动名称,级别,活动分类,活动主办方,报名方式,最大报名人数 ,已参与人数,报名开始时间,报名结束时间,活动开始时间,活动结束时间
12521447,已结束,代码护航消费，技术赋能维权,院系级,学术科技与创新创业,软件项目开发社团,报名制,不限,42,2025-03-22 01:00:00,2025-03-24 07:35:00,2025-03-24 23:55:00,2025-03-25 23:55:00
11447050,已结束,第一届人工智能大赛,院系级,学术科技与创新创业,软件项目开发社团,报名制,不限,51,2024-11-06 23:00:00,2024-11-07 23:00:00,2024-11-08 00:00:00,2024-11-09 00:00:00
11379427,已结束,“空中视界—无人机3D建模技术主题活动”,院系级,学术科技与创新创业,软件项目开发社团,报名制,50,46,2024-10-31 00:00:00,2024-11-02 12:00:00,2024-11-03 08:00:00,2024-11-05 12:00:00
11013521,已结束,前端开发争霸赛,校级,学术科技与创新创业,软件项目开发社团,报名制,不限,107,2024-09-26 14:00:00,2024-09-26 23:55:00,2024-09-27 00:00:00,2024-10-08 23:55:00
11013447,已结束,软件项目开发社团迎新宣讲,院系级,公益劳动与志愿服务,软件项目开发社团,报名制,150,107,2024-09-26 05:00:00,2024-09-26 19:00:00,2024-09-27 05:00:00,2024-09-27 14:00:00
10993627,已结束,计算机程序设计比赛,院系级,学术科技与创新创业,软件项目开发社团,报名制,不限,40,2024-09-24 00:00:00,2024-09-25 08:00:00,2024-09-25 12:00:00,2024-09-28 13:00:00
10940223,已结束,软件项目开发社团迎新活动,院系级,公益劳动与志愿服务,软件项目开发社团,报名制,不限,28,2024-09-24 00:00:00,2024-09-25 00:00:00,2024-09-25 07:00:00,2024-09-25 17:00:00
10847253,已结束,Java编程语言设计大赛,院系级,学术科技与创新创业,软件项目开发社团,报名制,不限,21,2024-06-25 18:00:00,2024-06-26 18:00:00,2024-06-26 19:00:00,2024-06-28 18:00:00
10816909,已结束,Java编程语言培训,院系级,学术科技与创新创业,软件项目开发社团,报名制,不限,101,2024-06-20 00:00:00,2024-06-20 23:00:00,2024-06-21 00:00:00,2024-06-23 18:00:00
10704950,已结束,技术分享会,院系级,学术科技与创新创业,软件项目开发社团,报名制,80,80,2024-06-08 01:00:00,2024-06-09 00:00:00,2024-06-09 11:00:00,2024-06-10 00:00:00
